#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:sequences" spec="beast.base.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:sequences" lower="0.0" name="popSizes" spec="beast.base.inference.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:sequences" spec="beast.base.inference.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:sequences" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:sequences" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.sequences" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:sequences" jeffreys="true" parameter="@bPopSizes.t:sequences" spec="beast.base.inference.distribution.MarkovChainDistribution"/>
#        <prior id="FrequenciesPrior.s:sequences" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.13" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="GammaShapePrior.s:sequences" name="distribution">
#            <parameter id="gammaShape.s:sequences" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="RateACPrior.s:sequences" name="distribution">
#            <parameter id="rateAC.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:sequences" name="distribution">
#            <parameter id="rateAG.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.base.inference.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:sequences" name="distribution">
#            <parameter id="rateAT.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:sequences" name="distribution">
#            <parameter id="rateCG.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:sequences" name="distribution">
#            <parameter id="rateGT.s:sequences" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sequences" id="treeLikelihood.sequences" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sequences">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:sequences" shape="@gammaShape.s:sequences" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequences" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequences" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:sequences" rateAC="@rateAC.s:sequences" rateAG="@rateAG.s:sequences" rateAT="@rateAT.s:sequences" rateCG="@rateCG.s:sequences" rateGT="@rateGT.s:sequences" spec="beast.base.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:sequences" lower="0.0" name="rateCT" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                    <frequencies frequencies="@freqParameter.s:sequences" id="estimatedFreqs.s:sequences" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sequences" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sequences" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.69E-8</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	gammaShape
128000	-30141.97263969671	-28342.007518758077	-1799.9651209386338	-28342.007518758077	148831.54232396066	3419587.564915808	0.03857104441829836	2.4359870584081125	0.040591540120617664	0.044363045487842645	0.02216234343545288	0.306257574689076	0.32074395563515656	0.12534436495645648	0.24765410471931112	-1742.4416020088806	1247784.4601450674	976861.3112464738	682953.0898979579	186576.9661659897	23	28	55	15	0.1
136000	-30143.61372188669	-28348.48759319614	-1795.1261286905515	-28348.48759319614	148908.2810604872	3395056.634633401	0.04062977834970777	2.6364603697986433	0.040070477162333196	0.044354459797453255	0.039197320756840896	0.30622765299300364	0.312124318956023	0.13129811547788314	0.2503499125730902	-1737.591003540467	984979.7010484085	1119274.6958929885	485231.36921076564	144893.55139624065	33	17	49	22	0.1010703794156099
144000	-30116.736930251685	-28331.57648094933	-1785.1604493023542	-28331.57648094933	149347.40909941215	3288677.412820712	0.04062977834970777	1.9868165754789373	0.040070477162333196	0.044354459797453255	0.03312193459581367	0.30622765299300364	0.312124318956023	0.13129811547788314	0.2503499125730902	-1731.0677054122243	935114.0760313228	420102.52919219766	174838.25840540414	22223.02901217419	73	35	9	4	0.1010703794156099
152000	-30138.002831776834	-28347.158851902084	-1790.8439798747488	-28347.158851902084	162634.7354304006	3299930.8353575245	0.04062977834970777	2.835529622439813	0.040070477162333196	0.044354459797453255	0.03312193459581367	0.30622765299300364	0.312124318956023	0.13129811547788314	0.2503499125730902	-1735.6345247823594	794991.9518244617	410960.00236999366	218817.86589844758	175450.4050128437	78	34	6	3	0.1010703794156099
160000	-30126.55946873414	-28343.91534976583	-1782.6441189683114	-28343.91534976583	152606.31166626097	3288607.7986486824	0.03073872042267457	2.7920988106979676	0.043293479181306056	0.04432836158200272	0.03456202195323638	0.30329675249993276	0.3113016530209419	0.13345702034715393	0.2519445741319714	-1728.1707522801034	858451.3102712256	477514.91675868985	177780.70886618792	51885.5481975976	58	43	15	5	0.1
168000	-30106.86644291892	-28324.296345287577	-1782.5700976313408	-28324.296345287577	135035.286436513	3137366.1266842387	0.030900220024334922	2.1956505368155006	0.041282912220542464	0.03720016094153497	0.033642743694460624	0.3033159883607651	0.3174892515551608	0.13185688744881607	0.24733787263525797	-1727.7705977127223	1116936.016938884	447553.12336660374	205417.74970548952	109617.57490542257	48	54	15	4	0.10625890912373277
176000	-30125.958728863843	-28339.733608781946	-1786.2251200818976	-28339.733608781946	145536.7278937162	3298995.1456476836	0.026374791390237868	2.2004570910953016	0.04399043414598898	0.06521411336033925	0.01654749515723443	0.3032637347767691	0.3140110735133068	0.13045107515579574	0.2522741165541284	-1732.7007985182368	758008.6468166847	617768.7971466107	125672.58468421196	32677.212662686437	32	74	12	3	0.11151209885692635
184000	-30148.986720217094	-28352.669306440195	-1796.3174137768972	-28352.669306440195	159795.50582884133	3548061.6201919424	0.027454622803919727	2.3749440945668985	0.04305518729865329	0.11448938133197435	0.016983276291503386	0.31182440612152396	0.31445556185489515	0.13331121604709717	0.2404088159764838	-1740.632594586761	1411954.6892996037	522503.2930343823	231777.03076332127	65564.55928632064	40	67	10	4	0.11026485067584924
192000	-30138.548328148332	-28341.013201478752	-1797.5351266695798	-28341.013201478752	138109.72277439217	3425552.580060491	0.025779893714748453	2.313296529832251	0.0425851781181033	0.10598793433590929	0.030699812630754452	0.31430989901088335	0.31266543212370757	0.12907013288083394	0.24395453598457512	-1740.8541817336243	1675065.5513817456	745199.1363667789	203634.5228325452	75677.71810312333	45	56	14	6	0.10829048968488447
200000	-30123.946343749463	-28334.23437056726	-1789.7119731822013	-28334.23437056726	145416.83342579613	3342260.0538836927	0.025779893714748453	2.313296529832251	0.0425851781181033	0.07658238829347097	0.030699812630754452	0.31430989901088335	0.31266543212370757	0.12907013288083394	0.24395453598457512	-1734.7044018232689	868766.2279873053	647428.9114619646	168197.69405725566	61884.41950510555	60	44	12	5	0.10829048968488447
208000	-30117.45647498703	-28327.1178330149	-1790.338641972129	-28327.1178330149	141440.09520499277	3245281.6685161875	0.02719373279546483	2.2804210408134864	0.042484048883067844	0.07292450758331792	0.02831317094499382	0.3089639422456557	0.3143308283434761	0.12739634688297943	0.24930888252788874	-1733.5029652073727	1044717.324592496	574176.0975760523	587692.7601392398	127029.96457224824	48	22	30	21	0.10128225711420882
216000	-30142.583352961366	-28337.600995731806	-1804.9823572295597	-28337.600995731806	147317.91000853415	3530567.9599372935	0.03855071955343046	2.2046708118896157	0.0436206058545335	0.07519841137817429	0.026797872270548577	0.3151156381135183	0.3082011382153588	0.13282633086613668	0.24385689280498632	-1746.3127597907628	1288682.9439631077	1475530.9959017418	701933.1265876472	153781.94469361828	17	32	58	14	0.1034532383858707
224000	-30144.253485480906	-28353.346037317027	-1790.9074481638797	-28353.346037317027	139558.5495237133	3295430.782097329	0.03812156262019356	2.167025636653138	0.04261131826249473	0.03442219745707777	0.02688501242591734	0.316764938369585	0.3104296376760987	0.1251445220015609	0.24766090195275542	-1734.53397961724	1358706.667159457	542932.1962035457	440383.7617187504	174457.9304735593	48	27	31	15	0.1
232000	-30125.63574089379	-28337.257353121786	-1788.378387772007	-28337.257353121786	139901.80651785986	3466050.5626394963	0.035198440304713696	2.2784269358897817	0.043326534316999586	0.03548363804390049	0.028170412538541603	0.31180117619128817	0.3146493587572197	0.12966013262656217	0.24388933242492997	-1733.5854522748496	1253637.6530744291	508194.76044918626	219591.62238453043	21680.544403840257	53	49	14	5	0.10006441355439696
240000	-30142.754982000406	-28347.726389362368	-1795.0285926380382	-28347.726389362368	141413.42230324753	3358587.039226549	0.034297039378689026	2.2999665818846227	0.04222716963661066	0.056877408429147056	0.02890826648262801	0.312135283611606	0.31443307062780657	0.1296666493103255	0.2437649964502618	-1739.2898253030864	856764.526225974	606813.1398155945	283725.00830715644	168457.50874936793	96	10	2	13	0.10424008836434842
248000	-30125.842195009114	-28338.81757479739	-1787.0246202117219	-28338.81757479739	155609.6716692823	3282187.826615759	0.04819315302977005	2.216978499436514	0.023308368076163724	0.05636374095911309	0.02851434718693558	0.31523837997802107	0.32102837826112324	0.12762219339511247	0.23611104836574323	-1733.760055048916	863161.3739572223	434131.1618568342	80888.80323962045	35308.924933890674	86	32	1	2	0.1
