,title,number_of_ratings,year_of_release,rating,director
148,Kill Bill: Volume 1,1137143,2003,8.1,Quentin Tarantino
149,Suuri pakoretki,248875,1963,8.1,John Sturges
150,Rashomon - paholaisen temppeli,172199,1950,8.1,Akira Kurosawa
151,The Thing - 'se' jostakin,436836,1982,8.1,John Carpenter
152,Nemoa etsimässä,1063085,2003,8.1,Andrew Stanton
153,Spider-Man: No Way Home,789755,2021,8.1,Jon Watts
154,Elefanttimies,247045,1980,8.1,David Lynch
155,Chinatown,333679,1974,8.1,Roman Polanski
156,V niin kuin verikosto,1138184,2005,8.1,James McTeigue
157,Kuin raivo härkä,361868,1980,8.1,Martin Scorsese
158,Tuulen viemää,321646,1939,8.1,Victor Fleming
159,Täydellinen rikos,180042,1954,8.1,Alfred Hitchcock
160,"Puuta, heinää ja muutama vesiperä",593534,1998,8.1,Guy Ritchie
161,Inside Out - mielen sopukoissa,733064,2015,8.1,Pete Docter
162,Liikkuva linna,409461,2004,8.1,Hayao Miyazaki
163,Katseeseen kätketty,213529,2009,8.1,Juan José Campanella
164,"Three Billboards Outside Ebbing, Missouri",523980,2017,8.1,Martin McDonagh
165,Trainspotting,699320,1996,8.1,Danny Boyle
166,Kwai-joen silta,225088,1957,8.1,David Lean
167,Vangitut,741521,2013,8.1,Denis Villeneuve
168,Fargo,690764,1996,8.1,Joel Coen
169,Warrior,480710,2011,8.1,Gavin O'Connor
170,Gran Torino,787655,2008,8.1,Clint Eastwood
171,Ota kiinni jos saat,1015934,2002,8.1,Steven Spielberg
172,Naapurini Totoro,350827,1988,8.1,Hayao Miyazaki
173,Million Dollar Baby,698344,2004,8.1,Clint Eastwood
174,Taivaan lapset,76465,1997,8.1,Majid Majidi
175,Blade Runner,785365,1982,8.1,Ridley Scott
176,Kultakuume,113572,1925,8.1,Charles Chaplin
177,Klaus,165193,2019,8.1,Sergio Pablos
178,"Harry Potter ja kuoleman varjelukset, osa 2",897208,2011,8.1,David Yates
179,Rakkautta ennen aamua,318945,1995,8.1,Richard Linklater
180,12 Years a Slave,713976,2013,8.1,Steve McQueen
181,Ben-Hur,244581,1959,8.1,William Wyler
182,The Grand Budapest Hotel,834607,2014,8.1,Wes Anderson
